tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,rating_pos,rating_neu,rating_neg,processed_text,cleaned_tweets
this is literally teen falice and alice was the one who hated everyone https://t.co/U2DTbptXCF,TRUE,en,7,0,2/22/2021 20:00,1.36394E+18,"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.6369}",,1,,"['literally', 'teen', 'falice', 'alice', 'one', 'hated', 'everyone']",literally teen falice alice one hated everyone
"@withyoumaguire RIVERDALE:
- Alice, Veronica, Toni
- Falice
- Hiram/ Hermione ( thank God that's over)
- Season 2
- Betty and Veronica
- Season 4
- Hiram
- 9.5 rating",FALSE,en,0,0,2/22/2021 19:15,1.36393E+18,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.5574}",,1,,"['riverdale', 'alice', 'veronica', 'toni', 'falice', 'hiram', 'hermione', 'thank', 'god', 'season', '2', 'betty', 'veronica', 'season', '4', 'hiram', '9', '5', 'rating']",riverdale alice veronica toni falice hiram hermione thank god season 2 betty veronica season 4 hiram 9 5 rating
falice,FALSE,en,0,0,2/22/2021 18:52,1.36392E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,1,,['falice'],falice
falice https://t.co/iqUbwZKQSy,FALSE,en,1,0,2/22/2021 18:36,1.36392E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,1,,['falice'],falice
RT @faliceiscute: @madchenamick and skeet #Falice ❤️❤️🐍🐍 https://t.co/gzLDIAjE13,FALSE,en,0,6,2/22/2021 7:21,1.36375E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,1,,"['skeet', 'falice']",skeet falice
RT @DrewRayTanner: Mmmmm did someone say #falice 🤫 #riverdale https://t.co/7VvQ22p3M3,FALSE,en,0,70,2/22/2021 5:38,1.36372E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",1,,,"['mmmmm', 'someone', 'say', 'falice', 'riverdale']",mmmmm someone say falice riverdale
"@TH0LLANDS — top fav character:
1. Josie
2. Toni
3. Archie
— fav ship: Barchie/Falice
— least fav ship: 🐜 👨‍🦲
— fav season: 1 (for now)
— fav friendship: Veronica/Josie &amp; Archie/Toni
— fav season finale: s1
— least fav character: Hiram
— rating out of 10: 7.2(?)/10",FALSE,en,2,0,2/22/2021 4:37,1.36371E+18,"{'neg': 0.0, 'neu': 0.539, 'pos': 0.461, 'compound': 0.9741}",,1,,"['top', 'fav', 'character', '1', 'josie', '2', 'toni', '3', 'archie', 'fav', 'ship', 'barchie', 'falice', 'least', 'fav', 'ship', 'fav', 'season', '1', 'fav', 'friendship', 'veronica', 'josie', 'amp', 'archie', 'toni', 'fav', 'season', 'finale', 's1', 'least', 'fav', 'character', 'hiram', 'rating', '10', '7', '2', '10']",top fav character 1 josie 2 toni 3 archie fav ship barchie falice least fav ship fav season 1 fav friendship veronica josie amp archie toni fav season finale s1 least fav character hiram rating 10 7 2 10
/ watching falice on screen: I’d fuck them both ✨,FALSE,en,1,0,2/22/2021 4:32,1.36371E+18,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5423}",1,,,"['watching', 'falice', 'screen', 'fuck']",watching falice screen fuck
"Riverdale 
— top fav characters:
1. Alice 
2. FP 
3. Hermione 
— fav ship: Falice 
— least fav ship: I honestly don’t know 
— fav season: 2
— fav friendship: Toni &amp; Alice (thank you S5) 
— fav season finale: 1 
— least fav character: Jughead 
— rating out of 10: 6 or 7",FALSE,en,1,0,2/22/2021 4:19,1.3637E+18,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.9792}",,1,,"['riverdale', 'top', 'fav', 'characters', '1', 'alice', '2', 'fp', '3', 'hermione', 'fav', 'ship', 'falice', 'least', 'fav', 'ship', 'honestly', 'know', 'fav', 'season', '2', 'fav', 'friendship', 'toni', 'amp', 'alice', 'thank', 's5', 'fav', 'season', 'finale', '1', 'least', 'fav', 'character', 'jughead', 'rating', '10', '6', '7']",riverdale top fav characters 1 alice 2 fp 3 hermione fav ship falice least fav ship honestly know fav season 2 fav friendship toni amp alice thank s5 fav season finale 1 least fav character jughead rating 10 6 7
"show: Riverdale

— top fav characters:
1. Alice
2. FP
3. Kevin
— fav ship: Falice
— least fav ship: Varchie
— fav season: 1
— fav friendship: Kevin and Toni
— fav season finale: 3
— least fav character: Jug
— rating out of 10: 6",FALSE,en,2,0,2/22/2021 3:30,1.36369E+18,"{'neg': 0.0, 'neu': 0.512, 'pos': 0.488, 'compound': 0.9741}",,1,,"['show', 'riverdale', 'top', 'fav', 'characters', '1', 'alice', '2', 'fp', '3', 'kevin', 'fav', 'ship', 'falice', 'least', 'fav', 'ship', 'varchie', 'fav', 'season', '1', 'fav', 'friendship', 'kevin', 'toni', 'fav', 'season', 'finale', '3', 'least', 'fav', 'character', 'jug', 'rating', '10', '6']",show riverdale top fav characters 1 alice 2 fp 3 kevin fav ship falice least fav ship varchie fav season 1 fav friendship kevin toni fav season finale 3 least fav character jug rating 10 6
