tweets,quote_status,language,favorite_count,retweet_count,time,processed_text,cleaned_tweets
RT @jenniesivy: @CW_Riverdale bughead endgame when https://t.co/G7kmcS3V1d,False,en,0,14,2021-02-26 20:34:48,"['bughead', 'endgame']",bughead endgame
@CW_Riverdale bughead endgame bitches,False,en,0,0,2021-02-26 20:34:39,"['bughead', 'endgame', 'bitches']",bughead endgame bitches
@Bughead_Support Bughead 💕,False,en,1,0,2021-02-26 20:31:58,['bughead'],bughead
@Bughead_Support @BugheadUpdates bughead forever https://t.co/bX9AQ24p2U,False,en,1,0,2021-02-26 20:28:38,"['bughead', 'forever']",bughead forever
@classyreinhart hes wrote me on every bughead posts about 100x deep down I swear that this person is a bughead,False,en,1,0,2021-02-26 20:28:36,"['hes', 'wrote', 'every', 'bughead', 'posts', '100x', 'deep', 'swear', 'person', 'bughead']",hes wrote every bughead posts 100x deep swear person bughead
@Bughead_Support bughead bby 😙✌️,False,en,1,0,2021-02-26 20:27:26,"['bughead', 'bby']",bughead bby
@CW_Riverdale endgame couple 👇🏻 #bughead https://t.co/70WyQ1NbuS,False,en,5,1,2021-02-26 20:27:06,"['endgame', 'couple', 'bughead']",endgame couple bughead
"RT @bestshipsxworld: toni topaz and cheryl blossom from riverdale
 https://t.co/mwWsT4ofLI",False,en,0,114,2021-02-26 20:26:08,"['toni', 'topaz', 'cheryl', 'blossom', 'riverdale']",toni topaz cheryl blossom riverdale
Comment Bughead if you're here until the end. Just trying to see something... #Riverdale,False,en,90,5,2021-02-26 20:25:59,"['comment', 'bughead', 'end', 'trying', 'see', 'something', 'riverdale']",comment bughead end trying see something riverdale
@glowlust the last time i watched bughead was still a thing,False,en,0,0,2021-02-26 20:15:21,"['last', 'time', 'watched', 'bughead', 'still', 'thing']",last time watched bughead still thing
naley x bughead parallels; a thread https://t.co/AcO16Cm97s,False,en,54,10,2021-02-26 20:13:59,"['naley', 'x', 'bughead', 'parallels', 'thread']",naley x bughead parallels thread
Bughead Comeback on season 5 ??🙏🏻🙏🏻 @azalben @CW_Riverdale @lilireinhart,False,en,0,0,2021-02-26 20:12:38,"['bughead', 'comeback', 'season', '5']",bughead comeback season 5
"@slowburnsftw you can tell Archie loves Ronnie, and the sex is meaningless between barchie. anyways why are you so obsessed with every bughead fan?",False,en,0,0,2021-02-26 20:09:50,"['tell', 'archie', 'loves', 'ronnie', 'sex', 'meaningless', 'barchie', 'anyways', 'obsessed', 'every', 'bughead', 'fan']",tell archie loves ronnie sex meaningless barchie anyways obsessed every bughead fan
"@CW_Riverdale I like both #Barchie and #Bughead, it's complicated and I know I need help. 😜 #RiverdaleSeason5",False,en,0,0,2021-02-26 20:09:33,"['like', 'barchie', 'bughead', 'complicated', 'know', 'need', 'help', 'riverdaleseason5']",like barchie bughead complicated know need help riverdaleseason5
@azalben Bughead Comeback on season 5,False,en,1,0,2021-02-26 20:08:18,"['bughead', 'comeback', 'season', '5']",bughead comeback season 5
"@crimsonclover90 @barchanted Yeah, because Bughead makes such a dang great team.",False,en,0,0,2021-02-26 20:08:09,"['yeah', 'bughead', 'makes', 'dang', 'great', 'team']",yeah bughead makes dang great team
"i think they are gonna show us like a cropped bh scene and we’ll see something suspicious cause we know our king&amp;queen, and will spend THE 4 WHOLE MONTHS proving that in fact, is a bughead scene😌 https://t.co/ld2PfCZHzB",True,en,1,0,2021-02-26 20:05:30,"['think', 'gonna', 'show', 'us', 'like', 'cropped', 'bh', 'scene', 'see', 'something', 'suspicious', 'cause', 'know', 'king', 'amp', 'queen', 'spend', '4', 'whole', 'months', 'proving', 'fact', 'bughead', 'scene']",think gonna show us like cropped bh scene see something suspicious cause know king amp queen spend 4 whole months proving fact bughead scene
@JakeConcentrate I miss bughead 😭,False,en,0,0,2021-02-26 20:04:45,"['miss', 'bughead']",miss bughead
"RT @NetflixLifee: Who do you ship? 

RT Bughead 
Like for Barchie 

#Riverdale https://t.co/Hus12z4PAE",False,en,0,3185,2021-02-26 20:01:34,"['ship', 'bughead', 'like', 'barchie', 'riverdale']",ship bughead like barchie riverdale
