tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
@emstopaz if it is thought enough it def could be connected to jarchie,False,en,1,0,2021-02-25 16:02:35,1364969047167746056,"['thought', 'enough', 'def', 'could', 'connected', 'jarchie']",thought enough def could connected jarchie
"#Varchie? #Barchie? #Tabihead (Or is it #Jugitha?)? 

Where #Riverdale romance will go, no one knows, but I’m still reeling over all those #Jarchie scenes they gave us last night.

Let’s go “Back To School” — here’s my review! https://t.co/YDCDOgXKNK",False,en,27,6,2021-02-25 15:59:12,1364968196500058114,"['varchie', 'barchie', 'tabihead', 'jugitha', 'riverdale', 'romance', 'go', 'one', 'knows', 'still', 'reeling', 'jarchie', 'scenes', 'gave', 'us', 'last', 'night', 'let', 'go', 'back', 'school', 'review']",varchie barchie tabihead jugitha riverdale romance go one knows still reeling jarchie scenes gave us last night let go back school review
WHAT are this parallels between jarchie and a MARRIED gay couple,False,en,0,0,2021-02-25 15:44:27,1364964486130589704,"['parallels', 'jarchie', 'married', 'gay', 'couple']",parallels jarchie married gay couple
RT @heather__cat: 53 seconds into new riverdale I text Hailey “I think the jarchie longcon might be back on” let’s see how this goes wrong…,False,en,0,1,2021-02-25 15:43:06,1364964144252878850,"['53', 'seconds', 'new', 'riverdale', 'text', 'hailey', 'think', 'jarchie', 'longcon', 'might', 'back', 'let', 'see', 'goes', 'wrong']",53 seconds new riverdale text hailey think jarchie longcon might back let see goes wrong
53 seconds into new riverdale I text Hailey “I think the jarchie longcon might be back on” let’s see how this goes wrong for me,False,en,2,1,2021-02-25 15:02:00,1364953803192213511,"['53', 'seconds', 'new', 'riverdale', 'text', 'hailey', 'think', 'jarchie', 'longcon', 'might', 'back', 'let', 'see', 'goes', 'wrong']",53 seconds new riverdale text hailey think jarchie longcon might back let see goes wrong
"#Riverdale 
As for #kangs ADORABLE 💗
#kevin and #betty friendship is 🥺💗
#alice i hope she finds happiness soon
I want #polly to return
#jarchie- supportive 
I didn’t like the andrews house burnin down like that 😭 
And hiram and chad are ugh 🤦🏻‍♀️ 
Reggie is 👀👩🏻‍🦯",False,en,1,0,2021-02-25 14:38:45,1364947948669460488,"['riverdale', 'kangs', 'adorable', 'kevin', 'betty', 'friendship', 'alice', 'hope', 'finds', 'happiness', 'soon', 'want', 'polly', 'return', 'jarchie', 'supportive', 'like', 'andrews', 'house', 'burnin', 'like', 'hiram', 'chad', 'ugh', 'reggie']",riverdale kangs adorable kevin betty friendship alice hope finds happiness soon want polly return jarchie supportive like andrews house burnin like hiram chad ugh reggie
RT @barchiejarchie: When jughead and archie die in the fire and jarchie gets afterlife endgame then what,False,en,0,3,2021-02-25 14:20:14,1364943291322675200,"['jughead', 'archie', 'die', 'fire', 'jarchie', 'gets', 'afterlife', 'endgame']",jughead archie die fire jarchie gets afterlife endgame
@shslluck Goood jarchie morning soren ^_^,False,en,1,0,2021-02-25 14:05:33,1364939595306131461,"['goood', 'jarchie', 'morning', 'soren']",goood jarchie morning soren
Good jarchie morning everyone,False,en,18,0,2021-02-25 14:02:45,1364938891892031488,"['good', 'jarchie', 'morning', 'everyone']",good jarchie morning everyone
i will sleep well tonight thinking of jarchie,False,en,0,0,2021-02-25 13:58:08,1364937729792827396,"['sleep', 'well', 'tonight', 'thinking', 'jarchie']",sleep well tonight thinking jarchie
not jarchie getting hatecrimed at the end,False,en,1,0,2021-02-25 13:19:02,1364927890853228546,"['jarchie', 'getting', 'hatecrimed', 'end']",jarchie getting hatecrimed end
did they just...parallel jarchie with kangs..,False,en,0,0,2021-02-25 13:04:16,1364924174452449285,"['parallel', 'jarchie', 'kangs']",parallel jarchie kangs
damn we opening this riverdale episode with full-on domestic jarchie,False,en,0,0,2021-02-25 13:03:26,1364923961658601473,"['damn', 'opening', 'riverdale', 'episode', 'full', 'domestic', 'jarchie']",damn opening riverdale episode full domestic jarchie
i stopped caring about riverdale after season 2 but goddamn barchie in the latest episodes almost made me BARF... jarchie when...,False,en,0,0,2021-02-25 13:02:22,1364923693621776388,"['stopped', 'caring', 'riverdale', 'season', '2', 'goddamn', 'barchie', 'latest', 'episodes', 'almost', 'made', 'barf', 'jarchie']",stopped caring riverdale season 2 goddamn barchie latest episodes almost made barf jarchie
"okay that’s my serotonin over for another week, domestic jarchie highlight of my life",False,en,1,0,2021-02-25 12:57:12,1364922393278492676,"['okay', 'serotonin', 'another', 'week', 'domestic', 'jarchie', 'highlight', 'life']",okay serotonin another week domestic jarchie highlight life
NOT JUGHEAD CALLING ARCHIE SWEET PRINCE JARCHIE ROOMMATES RISE,False,en,3,0,2021-02-25 12:15:02,1364911782851182592,"['jughead', 'calling', 'archie', 'sweet', 'prince', 'jarchie', 'roommates', 'rise']",jughead calling archie sweet prince jarchie roommates rise
RT @srsoto26: I wanted Jarchie roommates so bad if the fire ruins it.... 😭 #Riverdale,True,en,0,4,2021-02-25 10:28:34,1364884991033933830,"['wanted', 'jarchie', 'roommates', 'bad', 'fire', 'ruins', 'riverdale']",wanted jarchie roommates bad fire ruins riverdale
Why do you like jarchie all of the sudden but still don’t ship barchie? Both are childhood friends but atleast ba… — idk what u mean by this but it feels phobic  https://t.co/vK3iiBDZaQ,False,en,1,0,2021-02-25 10:17:59,1364882324178018305,"['like', 'jarchie', 'sudden', 'still', 'ship', 'barchie', 'childhood', 'friends', 'atleast', 'ba', 'idk', 'u', 'mean', 'feels', 'phobic']",like jarchie sudden still ship barchie childhood friends atleast ba idk u mean feels phobic
RT @nymonologue: why the cut from jarchie to kangs https://t.co/CdPggasrmy,False,en,0,2,2021-02-25 10:06:49,1364879517534330880,"['cut', 'jarchie', 'kangs']",cut jarchie kangs
every single thing about jughead and archie living together is so delightful... jarchie marchie on its way,False,en,2,0,2021-02-25 09:56:51,1364877008187105281,"['every', 'single', 'thing', 'jughead', 'archie', 'living', 'together', 'delightful', 'jarchie', 'marchie', 'way']",every single thing jughead archie living together delightful jarchie marchie way
starts of w jarchie YES,False,en,0,0,2021-02-25 08:02:31,1364848234666074115,"['starts', 'w', 'jarchie', 'yes']",starts w jarchie yes
jarchie longconners we have more of your favorite juice in the timkon fandom,False,en,1,0,2021-02-25 07:39:25,1364842423382253570,"['jarchie', 'longconners', 'favorite', 'juice', 'timkon', 'fandom']",jarchie longconners favorite juice timkon fandom
@Neil_McNeil jarchie-my-sweet-prince.gif,False,en,3,0,2021-02-25 07:34:18,1364841134665703424,"['jarchie', 'sweet', 'prince', 'gif']",jarchie sweet prince gif
@speliviaa They are so stale their friendship isn’t been real my girl betty doesn’t care for veronica also where are the beronica scenes time jump I see none only jarchie,False,en,0,0,2021-02-25 06:53:39,1364830902228901891,"['stale', 'friendship', 'real', 'girl', 'betty', 'care', 'veronica', 'also', 'beronica', 'scenes', 'time', 'jump', 'see', 'none', 'jarchie']",stale friendship real girl betty care veronica also beronica scenes time jump see none jarchie
@bugvarchieanti @archietonis JARCHIE IS BETTER!,False,en,1,0,2021-02-25 06:47:53,1364829452140613633,"['jarchie', 'better']",jarchie better
why the cut from jarchie to kangs https://t.co/CdPggasrmy,False,en,15,2,2021-02-25 06:25:17,1364823766891524096,"['cut', 'jarchie', 'kangs']",cut jarchie kangs
the jarchie crumbs this episode https://t.co/DVnZu2trUu,False,en,3,0,2021-02-25 06:21:56,1364822923085836289,"['jarchie', 'crumbs', 'episode']",jarchie crumbs episode
@bugverchoni dragging jarchie into this and For What,False,en,2,0,2021-02-25 06:20:59,1364822682953420805,"['dragging', 'jarchie']",dragging jarchie
